CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_TOT,ANALF,SBASC,OVSDE,OVSEE,OVSAE,OVPT,VHAC,PL.5000,PO2SM,IM_2020,GM_2020,IMN_2020
02,Baja California,02001,Ensenada,443807,2.287974263,25.2439324,0.346371547,1.410373794,4.574524681,1.717626105,13.80881977,13.5700879,79.43185671,58.08223757,Muy bajo,0.909487006
02,Baja California,02002,Mexicali,1049792,1.618302815,21.50144404,0.155113203,0.396584104,0.676314093,1.226286533,12.58808804,11.39454292,69.89562509,59.38498909,Muy bajo,0.929886282
02,Baja California,02003,Tecate,108440,1.950223796,27.29646454,0.336795935,0.974162661,3.234807468,1.63512283,14.01496696,20.40483217,74.02471315,58.39007744,Muy bajo,0.91430735
02,Baja California,02004,Tijuana,1922523,1.469749611,24.58387871,0.156099942,0.184236546,1.159384922,2.14702319,14.9725647,1.704114853,74.59246912,59.14028682,Muy bajo,0.926054585
02,Baja California,02005,Playas de Rosarito,126890,2.02917194,29.73713236,0.313293405,0.443460784,5.010253239,2.686312019,15.40960503,15.75537867,72.77342617,58.29141747,Muy bajo,0.912762472
02,Baja California,02006,San Quintín,117568,8.122046081,47.242461,0.523168266,5.493985441,16.80764101,4.436871816,31.07445717,54.39830566,65.78243119,53.39904001,Medio,0.83615465
03,Baja California Sur,03001,Comondú,73021,4.083670764,32.33020608,0.520638094,1.291182473,1.552195704,2.940563955,16.13560295,19.63955574,62.55451077,58.26382283,Muy bajo,0.912330378
03,Baja California Sur,03002,Mulegé,64022,4.153327357,33.5888492,1.037091655,2.176595983,2.928494718,3.276848839,21.22506332,39.31773453,55.32593204,57.49256731,Muy bajo,0.90025359
03,Baja California Sur,03003,La Paz,292241,1.783445672,19.88874185,0.436283241,1.077344237,2.368889782,2.106200763,11.96486092,9.818608614,48.34511241,59.8532531,Muy bajo,0.937218644
03,Baja California Sur,03008,Los Cabos,351111,2.122147503,23.94465568,0.243318143,0.584837566,9.2894422,8.351668686,24.58845139,3.455317549,38.13877985,58.73572701,Muy bajo,0.919719741
03,Baja California Sur,03009,Loreto,18052,2.212159454,26.03185872,1.020005635,0.794590025,2.857142857,3.759864713,19.35135078,9.644360736,56.70090022,58.8193123,Muy bajo,0.92102857
04,Campeche,04001,Calkiní,59232,9.262274405,31.88145382,7.371415027,0.61964582,1.792909627,2.072258152,33.95187378,28.34447596,78.9968398,55.38128192,Bajo,0.867193799
04,Campeche,04002,Campeche,294077,3.308901542,22.97149848,0.716926792,0.340677044,0.655016606,0.980697332,24.15549278,9.925291675,67.74914627,58.64070104,Muy bajo,0.918231766
04,Campeche,04003,Carmen,248845,3.928864361,26.49356375,0.666552167,0.663278033,5.758928937,2.4185765,27.36754608,14.85945066,55.02895194,58.09508328,Muy bajo,0.909688152
04,Campeche,04004,Champotón,78170,8.826380412,39.00982764,2.873740094,1.269523736,2.95837501,3.286487318,35.45284653,54.20365869,81.91547838,54.83259891,Bajo,0.858602187
04,Campeche,04005,Hecelchakán,31917,8.41257603,30.96461921,5.381770311,0.501504514,2.288114343,1.332163119,33.15637207,34.12288122,80.44994905,55.68600466,Bajo,0.871965333
